Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Category,Sub_Category,Product_Name,Quantity,Price,Discount,Payment_Mode,Shipping_Cost,Profit
ORD10002,2025-10-07,CUST1023,Customer 109,North,Delhi,Home,Kitchen,Mixer Grinder,4,2786,25,COD,386,7972
ORD10003,2025-12-26,CUST1140,Customer 108,North,Delhi,Electronics,Mobile,iPhone,1,74363,5,Card,372,70272.85
ORD10004,2025-03-21,CUST1056,Customer 87,South,Kochi,Home,Kitchen,Mixer Grinder,3,11938,15,UPI,182,30259.9
ORD10005,2025-08-24,CUST1138,Customer 32,North,Delhi,Clothing,Men,Men Jeans,6,2872,10,COD,413,15095.8
ORD10006,2025-01-24,CUST1059,Customer 75,West,Mumbai,Home,Kitchen,Cookware Set,6,9959,5,Card,75,56691.3
ORD10007,2025-04-18,CUST1069,Customer 19,North,Jaipur,Electronics,Laptop,Lenovo IdeaPad,8,48619,5,UPI,221,369283.4
ORD10008,2025-01-29,CUST1059,Customer 9,South,Chennai,Electronics,Laptop,Acer Aspire,5,73800,5,Card,206,350344
ORD10009,2025-11-26,CUST1118,Customer 37,East,Ranchi,Clothing,Men,Men T-Shirt,6,1270,25,UPI,242,5473
ORD10010,2025-04-23,CUST1036,Customer 131,East,Bhubaneswar,Electronics,Headphones,Sony Headphones,5,56955,20,UPI,225,227595
ORD10011,2025-07-15,CUST1120,Customer 136,West,Mumbai,Electronics,Mobile,iPhone,3,56133,20,COD,237,134482.2
ORD10012,2025-08-11,CUST1041,Customer 117,East,Kolkata,Home,Decor,Wall Clock,5,11001,10,COD,190,49314.5
ORD10013,2025-11-08,CUST1051,Customer 40,North,Chandigarh,Home,Furniture,Bookshelf,2,10744,10,Card,299,19040.2
ORD10014,2025-06-07,CUST1062,Customer 15,East,Bhubaneswar,Home,Decor,Wall Clock,6,8505,0,COD,225,50805
